,id,name,latitude,longitude
531,381,20th St at Dolores St,37.75823842417928,-122.4260938167572
544,207,Broadway at Coronado Ave,37.8357883,-122.25162069999999
545,365,Turk St at Fillmore St,37.78045005996349,-122.43194639682768
553,193,Grand Ave at Santa Clara Ave,37.812744099999996,-122.2472152
554,118,Eureka Valley Recreation Center,37.7591769,-122.4369431
561,51,Parker Ave at McAllister St,37.77610091264586,-122.4530929327011
563,91,Berry St at King St,37.77176211031317,-122.39843755960464
568,363,Salesforce Transit Center (Natoma St at 2nd St),37.78749210438603,-122.3982846736908
581,46,San Antonio Park,37.790139851853645,-122.24237322807312
584,186,Lakeside Dr at 14th St,37.8013189,-122.26264180000001
592,108,16th St Mission BART,37.76471008581914,-122.41995692253113
596,50,2nd St at Townsend St,37.780526,-122.39028799999998
600,156,Stanford Ave at Hollis St,37.8384435,-122.28866470000001
603,211,Broadway at 40th St,37.827757299999995,-122.25671559999999
605,20,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051
607,372,Madison St at 17th St,37.8040367840236,-122.26240932941437
611,196,Grand Ave at Perkins St,37.80889393398715,-122.25646018981932
616,139,Garfield Square (25th St at Harrison St),37.751017100000006,-122.4119009
618,151,53rd St at Hollis St,37.8361823,-122.2871801
628,357,2nd St at Julian St,37.34113203547954,-121.89284384250641
635,18,Telegraph Ave at Alcatraz Ave,37.85022187449679,-122.26017236709595
654,42,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823000000001
662,64,5th St at Brannan St,37.776753899999996,-122.3990176
673,201,10th St at Fallon St,37.797672799999994,-122.2629973
675,284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208436062,-122.40087568759917
680,146,30th St at San Jose Ave,37.7423139,-122.42318049999999
687,147,29th St at Tiffany Ave,37.744066700000005,-122.42147220000001
701,203,Webster St at 2nd St,37.795194764385954,-122.27396965026855
705,56,Koshland Park,37.77341396997343,-122.427316904068
713,138,Jersey St at Church St,37.7509004,-122.42741140000001
749,279,Santa Clara St at 7th St,37.3391456,-121.8841054
765,170,Telegraph Ave at 58th St,37.8444927,-122.261351
780,237,Fruitvale BART Station,37.7752321,-122.22449820000001
784,259,Addison St at Fourth St,37.866248999999996,-122.29937079999999
816,398,Leavenworth St at Broadway,37.796470691622936,-122.4168576300144
826,179,Telegraph Ave at 27th St,37.816073115011406,-122.26788640022278
837,373,Potrero del Sol Park (25th St at Utah St),37.75179164525661,-122.40521550178528
845,24,Spear St at Folsom St,37.78967670000001,-122.39042849999998
856,167,College Ave at Harwood Ave,37.848152,-122.25215990000001
866,29,O'Farrell St at Divisadero St,37.7824046019341,-122.43944585323335
872,26,1st St at Folsom St,37.787290000000006,-122.39438
892,41,Golden Gate Ave at Polk St,37.78127,-122.41873999999999
904,327,5th St at San Salvador St,37.33203868095132,-121.8817663192749
932,145,29th St at Church St,37.7436839,-122.42680590000002
942,54,Alamo Square (Steiner St at Fulton St),37.777546770173224,-122.43327409029007
947,291,Autumn Parkway at Coleman Ave,37.3413348,-121.90318290000002
959,273,Fulton St at Ashby Ave,37.85557366182879,-122.2635653614998
962,100,Bryant St at 15th St,37.7671004,-122.41066200000002
964,25,Howard St at 2nd St,37.78752178045625,-122.39740490913393
986,124,19th St at Florida St,37.7604469,-122.410807
1002,315,Market St at 45th St,37.834174,-122.27296799999999
1006,267,Derby St at College Ave,37.8618037,-122.25356869999999
1021,214,Market St at Brockhurst St,37.8233214,-122.27573249999999
1034,251,California St at University Ave,37.87055532905745,-122.27972030639648
1097,232,MLK Jr Way at 14th St,37.806162799999996,-122.2760402
1104,191,Market St at 40th St,37.8305452,-122.27393670000001
1126,275,Julian St at 6th St,37.3429973,-121.88888909999999
1136,35,Cahill Park,37.329118668147785,-121.90457582473756
1151,309,San Jose City Hall,37.337391,-121.886995
1158,255,Virginia St at Shattuck Ave,37.876572549106854,-122.26952791213988
1190,187,Jack London Square,37.796248,-122.279352
1313,337,Webster St at 19th St,37.80696976095594,-122.26658821105957
1325,132,24th St at Chattanooga St,37.751819399999995,-122.42661389999999
1379,278,The Alameda at Bush St,37.3319323,-121.9048882
1390,175,49th St at Telegraph Ave,37.8359455,-122.2623663
1430,178,Broadway at 30th St,37.819381400000005,-122.2619284
1441,63,Bryant St at 6th St,37.77591022233337,-122.40257500673576
1456,292,Empire St at 1st St,37.3448821,-121.89696550000001
1469,364,China Basin St at 3rd St,37.7719996,-122.38996979999999
1549,152,47th St at San Pablo Ave,37.83563220458518,-122.28105068206787
1747,242,Milvia St at Derby St,37.86012459911685,-122.2693844139576
1778,316,San Salvador St at 1st St,37.330165,-121.88583100000001
1821,210,45th St at Manila,37.833293522232104,-122.25622415542604
1884,318,San Carlos St at Market St,37.330698,-121.888979
1913,216,San Pablo Ave at 27th St,37.8178269,-122.2756976
1921,282,Market St at Park St,37.332426301252056,-121.89034938812256
1956,162,Franklin St at 9th St,37.8005161,-122.27207990000001
1962,313,Almaden Blvd at San Fernando St,37.331415,-121.8932
2060,298,Oak St at 1st St,37.32212462544857,-121.88109040260315
2064,295,William St at 10th St,37.3327938,-121.8759263
2106,164,Isabella St at San Pablo Ave,37.814988230424156,-122.27484405040741
2133,142,Guerrero Park,37.74573879618333,-122.42214024066924
2134,351,10th St at University Ave,37.86906047545393,-122.29339957237242
2238,218,DeFremery Park,37.8123315,-122.28517120000001
2297,257,Fifth St at Delaware St,37.870407115465376,-122.29967594146729
2298,358,Williams Ave at 3rd St,37.72927865173028,-122.39289611577988
2302,233,4th Ave at E 12th St (Temporary Location),37.795913,-122.25554699999999
2304,173,Shattuck Ave at 55th St,37.8403643,-122.26448810000001
2352,153,59th St at Horton St,37.84094520000001,-122.2913604
2358,307,SAP Center,37.332692,-121.900084
2434,192,37th St at West St,37.82669558640968,-122.27179706096649
2508,287,Almaden Blvd at Balbach St,37.32673,-121.8892731
2584,157,65th St at Hollis St,37.8467842,-122.2913761
2619,314,Santa Clara St at Almaden Blvd,37.333988,-121.894902
2668,265,Ninth St at Parker St,37.8588682,-122.2912095
2681,169,Bushrod Park,37.846515600000004,-122.26530430000001
2771,378,Empire St at 7th St,37.34774456553247,-121.89079999923706
2925,361,Mendell St at Fairfax Ave,37.73985301798413,-122.38565549254416
3157,344,16th St Depot,37.76634858593738,-122.39629179239272
3349,360,Newhall St at 3rd St,37.738571871267254,-122.38961778581141
3597,290,George St at 1st St,37.3477319,-121.899464
3621,288,Mission St at 1st St,37.3509643,-121.90201609999998
3736,84,Duboce Park,37.769200500000004,-122.4338119
4081,297,Locust St at Grant St,37.322979600000004,-121.8879312
4120,213,32nd St at Adeline St,37.8238474,-122.2811926
4159,212,Mosswood Park,37.82489252995112,-122.26043654610294
4243,283,Delmas Ave and San Fernando St,37.3302641,-121.8977018
4272,362,Lane St at Revere Ave,37.73172669352171,-122.39005565643309
4297,200,2nd Ave at E 18th St,37.800213566969795,-122.25381016731262
4310,286,San Carlos St at 11th St,37.3364659,-121.8766132
4402,359,Williams Ave at Apollo St,37.730167508150885,-122.39896327257156
4732,177,MacArthur Blvd at Telegraph Ave,37.82628629999999,-122.2651002
4829,299,Bestor Art Park,37.3236779,-121.8741186
4870,206,College Ave at Bryant Ave,37.8381269,-122.25127140000002
5006,205,Miles Ave at Cavour St,37.8388,-122.25873200000001
5254,306,Saint James Park,37.339301,-121.88993700000002
5377,231,14th St at Filbert St,37.80874983465997,-122.28328227996825
5710,227,Foothill Blvd at Fruitvale Ave,37.78375689999999,-122.2226033
5727,236,Market St at 8th St,37.8036865,-122.28249699999999
5743,388,Backesto Park (Jackson St at 13th St),37.352886827291215,-121.88604980707169
5976,222,10th Ave at E 15th St,37.7927143,-122.24877959999999
6130,168,Alcatraz Ave at Shattuck Ave,37.849594967776646,-122.26556897163393
6311,204,55th St at Telegraph Ave,37.84018579999999,-122.26182250000001
6469,189,Genoa St at 55th St,37.83964879999999,-122.2717561
6822,188,Dover St at 57th St,37.8426295,-122.267738
6924,271,San Pablo Park,37.85578332030199,-122.28312671184538
7143,221,6th Ave at E 12th St (Temporary Location),37.794396,-122.25384199999999
7448,389,Taylor St at 9th St,37.35306166133104,-121.89193725585936
8194,217,27th St at MLK Jr Way,37.817015399999995,-122.2717615
8280,228,Foothill Blvd at Harrington Ave,37.77993,-122.2177284
9542,225,23rd Ave at Foothill Blvd,37.785191499999996,-122.2343822
10151,303,San Pedro St at Hedding St,37.352601,-121.90573300000001
10803,209,45th St at MLK Jr Way,37.83355770000001,-122.2674183
15879,289,5th St at Taylor St,37.351017299999995,-121.89592090000001
19868,229,Foothill Blvd at 42nd Ave,37.7757452,-122.2130372
27232,301,Willow St at Vine St,37.318449799999996,-121.88317240000002
28959,226,26th Ave at International Blvd,37.781123,-122.2329915
34695,234,Farnam St at Fruitvale Ave,37.778058,-122.2254
88038,224,21st Ave at International Blvd,37.78485466229441,-122.23930478096008
156498,37,2nd St at Folsom St,37.78499972833808,-122.39593561749642
